scientific_name,pronunciation,common_name,family_name,plant_type,key_id_features,habit,form,texture,height,spread,growth_rate,origin,climate,exposure,soil_or_growing_medium,water,landscape_uses,additional_info,leaf_form,leaf_arrangement,leaf_texture,leaf_surfaces,leaf_colour_in_summer,leaf_colour_in_fall,leaf_shapes,leaf_apices,leaf_bases,leaf_margins,inflorescence_type,petal_colour,flower_scent,flower_time,fruit_type,fruit_colour,fruiting_time,bark_morphology,bark_or_stem_colour,propagation,pest_susceptibility
Polystichum braunii,puh-LISS-tih-kum BROWN-ee-eye,Braun's holly fern,Dryopteridaceae,Fern,,"Arching, Dense, Upright",Vase,Medium,0.7 - 1.3m,,Fast,"B.C. west of Cascades, Canada - eastern, Europe, U.S. - northeast, U.S. - northwest",Zone 4: (-34 to -29 C),"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Moderate,"Accent plant, Alpine, Container planting, Ground cover, Group or mass planting, Mixed shrub border, Small garden/space, Summer interest, Woodland margin",no above ground stem,"Compound, Fern-like",Basal,Leathery,"Lustrous, Pubescent",Green,Green,"Lanceolate, Oblong, Ovate","Acuminate, Acute",,"Dentate, Serrate",n/a,No Flowers,,,Sporangium (spores),,,,,Spore,"Pest resistant, Disease resistant"
Polystichum munitum,puh-LISS-tih-kum MUN-ee-tum,western sword fern,Dryopteridaceae,Fern,Fronds pinnately compound; pinnae delicately serrated with a larger tooth near pinna base and lower surface has obvious yellow to orange sori.,Arching,Vase,Medium,0.7 - 1.3m,1.0 - 1.5m,Moderate,"B.C. west of Cascades, U.S. - northwest",Zone 4: (-34 to -29 C),"Filtered shade, Part sun/part shade","Acidic, Well-drained",Moderate,"Group or mass planting, Mixed shrub border, Woodland margin",no above ground stem,"Compound, Fern-like",Basal,Leathery,Lustrous,Green,"Green, Brown",Lanceolate,Acute,Obtuse,Dentate,n/a,No Flowers,,,Sporangium (spores),,,Other,,Division - below ground parts,"Pest resistant, Disease resistant"
Polystichum polyblepharum,puh-LISS-tih-kum pol-ee-BLEF-ar-um,Japanese tassel fern,Dryopteridaceae,Fern,,Arching,Vase,Medium,0.4 - 0.7m,0.3 - 0.6m,Moderate,,Zone 5: (-29 to -23 C),"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Moderate,"Alpine, Ground cover, Group or mass planting, Mixed shrub border, Rock garden, Summer interest, Woodland margin",no above ground stem,"Compound, Fern-like",Basal,"Leathery, Prickly",Lustrous,Dark-green,Dark-green,"Oblong, Ovate","Acuminate, Mucronate",,Dentate,n/a,No Flowers,,,Sporangium (spores),Brown,,,,"Spore, Division - below ground parts, Tissue culture","Pest resistant, Disease resistant"
Polystichum setiferum,puh-LISS-tih-kum seh-TIFF-er-um,hedge fern,Dryopteridaceae,Fern,"Small (50cm) fern; fronds have ovate pinnae and a hairy (scaley), brown rachis (shake like a puppy tail when wiggled back and forth).",Arching,"Mounded, Vase",Medium,0.7 - 1.3m,1.0 - 1.5m,Fast,Europe,Zone 5: (-29 to -23 C),"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Moderate,"Container planting, Ground cover, Group or mass planting, Perennial border, Small garden/space, Summer interest, Woodland margin",no above ground stem,"Compound, Fern-like",Basal,Soft flexible,,Green,Green,Lanceolate,,,Serrate,n/a,No Flowers,,,Sporangium (spores),,,,,"Spore, Tissue culture","Pest resistant, Fungal leaf spot"
Polystichum tsus-simense,puh-LISS-tih-kum tsoos-sim-EN-see,Korean rock fern,Dryopteridaceae,"Fern, Indoor foliage plant",,Arching,Vase,Medium - fine,0.2 - 0.4m,0.3 - 0.6m,Moderate,,Zone 6: (-23 to -18 C),"Deep shade, Filtered shade, Part sun/part shade","Acidic, Humus rich, Well-drained",Low,"Accent plant, Alpine, Container planting, Ground cover, Group or mass planting, Mixed shrub border, Rock garden, Small garden/space, Summer interest, Woodland margin",no above ground stem,"Compound, Fern-like",Basal,,Glabrous,"Green, Purple",Green,"Lanceolate, Oblong, Ovate",Mucronate,Oblique (uneven),Dentate,n/a,No Flowers,,,Sporangium (spores),,,,,Spore,"Pest resistant, Disease resistant"
Pontederia cordata,pon-tuh-DEER-ee-uh kor-DAY-tuh,pickerel weed,Pontederiaceae,"Aquatic plant, Herbaceous perennial, Invasive plant","Leaves large, glossy, arrow-head shaped, to 25 cm long; flowers soft blue spike in summer (white cultivar available).","Spreading, Upright",Creeping / Mat-like,Coarse,0.7 - 1.3m,0.3 - 0.6m,Fast,"Caribbean Island, U.S. - northeast",Zone 3: (-40 to -34 C),Full sun,,"Aquatic, Wetlands","Aquatic - ponds, Attract beneficial insects, Attract butterflies, Container planting, Herb, Wetland - bogs","Showy, Edible, nutlet",Simple,Alternate,Leathery,"Glabrous, Lustrous",Dark-green,,"Lanceolate, Ovate",Acute,"Cordate, Sagittate, Sheathing",Entire,Spike,"Showy, White, Blue",None,"Jul, Aug, Sep",Achene,Brown,"Sep, Oct",,n/a,"Seed, Cuttings, Division - below ground parts","Pest resistant, Disease resistant"
Populus alba,POP-you-lus AL-bah,white poplar,Salicaceae,"Invasive plant, Tree - deciduous","Tree diamond-shaped, dark lenticels on gray-white bark; leaves 6cm, dark-green above/ silvery white & hairy underside (cashmere-like), irregular shapes, leaves turn yellow in autumn; male catkins red, <8cm.long, pendent, early spring; female catkins green, <5cm.long.","Dense, Open, Spreading, Upright",Oval - vertical,Coarse,22 - 30m,10 - 15m,Fast,"Africa, Europe",Zone 4: (-34 to -29 C),Full sun,Well-drained,Wetlands,"Screening, Shade tree, Summer interest, Tall background, Wind break, Woodland margin",Not showy,"Lobed, Simple",Alternate,"Heavily veined, Leathery",Tomentose,"Dark-green, Silver / Grayish","Yellow, Silver / Grayish","Other, Ovate",,Cordate,"Pinnately lobed, Serrate",Catkin (ament),"Not showy, Red",None,"Mar, Apr",Capsule,"White, Brown","May, Jun","Showy, Smooth, Prominent lenticels, Single stem trunk","White, Grey","Seed, Hardwood cuttings, Layering","Pest resistant, Dieback, Galls, Heart rot, Leaf miner insect, Root rot, Rust"
Populus deltoides,POP-you-lus del-toe-EYE-deez,plains cottonwood,Salicaceae,Tree - deciduous,"Leaves alternate, broadly triangular shaped, wavy margins, underside silvery with brown spots (resin blotches). Winter ID: long (1.5cm) lanceolate, green and brown buds that are aromatic (sweet) when crushed; leaf scar oval.",Stiffly upright,"Oval - vertical, Round",Medium,> 30m,10 - 15m,Fast,"B.C. east of Cascades, B.C. west of Cascades, U.S. - northwest",Zone 5: (-29 to -23 C),Full sun,Well-drained,"Low, Moderate","Reclamation, Wind break",Not showy,Simple,Alternate,"Leathery, Soft flexible","Glabrous, Lustrous",Green,Yellow,"Lanceolate, Ovate",Acute,Obtuse,Serrate,Catkin (ament),"Not showy, Green",None,"Mar, Apr",Capsule,"White, Brown","May, Jun","Single stem trunk, Moderately fissured",Grey,"Seed, Division - below ground parts","Root rot, Canker or sap rot, Scale insects, Crown rot, Dieback, Leaf miner insect, Caterpillar or cutworm, Rust"
Populus nigra 'Italica',POP-you-lus NYE-gruh,Lombardy poplar,Salicaceae,Tree - deciduous,"Tree tall, narrowly columnar; bark fissured, braided to diamond pattern; leaves deltoid, glossy, dark green, < 10 cm long, serrated margins; male catkins only, red.","Fastigiate, Stiffly upright",Columnar,Medium,15 - 22m,3 - 4m,Moderate,Europe,Zone 3: (-40 to -34 C),Full sun,Well-drained,Moderate,Wind break,"Fruit insignificant, Male plant so no fruit forms",Simple,Alternate,Soft flexible,Glabrous,Green,Yellow,"Deltoid, Rhomboidal",Acuminate,"Cuneate, Truncate","Crenate, Serrate",Catkin (ament),"Not showy, Red",,"Mar, Apr",Aborted (hybrids) or absent,,,Lightly fissured,"Grey, Dark Grey",Cuttings,"Dieback, Leaf miner insect, Root rot, Rust, Scale insects, Stem borer insects, Fungal leaf spot"
Populus tremula 'Erecta',POP-you-lus TREM-you-luh,"columnar European aspen, columnar Swedish poplar",Salicaceae,Tree - deciduous,"Columnar; leaves ovate, margins crenate, green/whitish underneath. Winter ID: new bark chocolate brown, old bark light brown, rough collars of dark nubs around trunk, very prominant bark ridge scar.","Fastigiate, Stiffly upright",Columnar,Medium,10 - 15m,3 - 4m,Fast,Europe,Zone 2: (-46 to -40 C),Full sun,Well-drained,Moderate,"Hedge row, Wind break",Male plant so no cottony fruit is produced,Simple,Alternate,Soft flexible,Lustrous,Green,Yellow,"Orbicular, Ovate",Acute,Truncate,"Crenate, Dentate",Catkin (ament),"Not showy, Red, Silver, Black",None,"Feb, Mar",Aborted (hybrids) or absent,Brown,Jun,Smooth,Grey,Cuttings,"Fungal leaf spot, Leaf miner insect, Root rot, Rust, Scale insects"
Populus tremuloides,POP-you-lus trem-you-loe-EYE-deez,trembling aspen,Salicaceae,Tree - deciduous,"Leaves on mature trees are nearly round, 4–8 x 3–7 centimeters long, petiole flattened (larger and more triangular on young trees and suckers); catkins 4–6 cm long, early spring before leaves appear; fruit10 cm long pendulous string of 6 mm capsules, each capsule containing about ten minute seeds embedded in cottony fluff for wind dispersal in early summer.","Spreading, Upright","Oval - vertical, Round",Medium,15 - 22m,7 - 10m,Fast,North America (cooler areas or higher elevations),Zone 1: (below -46 C),Full sun,,,Wind break,Twigs reddish brown with grey waxy film,Simple,Alternate,"Pinnate venation, Soft flexible",Glabrous,Green,Yellow,"Deltoid, Orbicular, Ovate",Cuspidate,"Cordate, Rounded, Truncate",Crenate,Catkin (ament),"Red, Silver",,"Mar, Apr",Capsule,White,Jun,"Moderately fissured, Smooth","Grey, Green, White","Seed, Division - below ground parts","Rust, Caterpillar or cutworm, Scale insects, Canker or sap rot, Stem borer insects, Mildew, Aphids or adelgids, Fungal leaf spot"
Populus trichocarpa,POP-you-lus try-ko-KAR-puh,black cottonwood,Salicaceae,Tree - deciduous,"Leaves alternate, broadly ovate, wavy margins, underside silvery with brown spots (resin blotches). Winter ID: long (1.5cm) lanceolate, green and brown buds that are aromatic (sweet) when crushed; leaf scar oval.",Stiffly upright,"Oval - vertical, Round",Medium,> 30m,10 - 15m,Fast,"B.C. east of Cascades, B.C. west of Cascades, U.S. - northwest",Zone 5: (-29 to -23 C),Full sun,Well-drained,"Low, Moderate","Reclamation, Wind break",Not showy,Simple,Alternate,"Leathery, Soft flexible","Glabrous, Lustrous",Green,Yellow,"Lanceolate, Ovate",Acute,Obtuse,Serrate,Catkin (ament),"Not showy, Green",None,"Mar, Apr",Capsule,"White, Brown","May, Jun","Moderately fissured, Single stem trunk",Grey,"Seed, Division - below ground parts","Crown rot, Dieback, Leaf miner insect, Root rot, Rust, Scale insects, Caterpillar or cutworm, Beetles or weevils, Blight or needle cast, Fungal leaf spot"
Portulaca grandiflora,por-tew-LAK-uh gran-dih-FLORE-uh,portulaca,Portulacaceae,"Annual, Succulent or Cacti","Succulent, tubular leaves have a round tip and hairs at the base.","Open, Spreading","Creeping / Mat-like, Weeping",Fine,0.1 - 0.2m,0.1 - 0.3m,Fast,South America,Zone 10: (-1 to 4 C),Full sun,"Rocky or gravelly or dry, Well-drained",Low,"Bedding plant, Container planting, Group or mass planting, Hanging basket",Fruit insignificant,Simple,Alternate,Succulent,Pubescent,Green,Green,Lanceolate,Acute,Oblique (uneven),Ciliate,"Floriferous, Flowers solitary","Showy, White, Yellow, Orange, Pink, Red, Dark-red, Magenta",None,"May, Jun, Jul, Aug, Sep, Oct",Capsule,,,,Bark or Stem Colour,Seed,Rust
Portulaca oleracea,por-tew-LAK-uh awl-lur-RAY-see-uh,purslane,Portulacaceae,"Annual, Succulent or Cacti, Weed (horticultural)",Leaves succulent; grows in dry areas.,"Horizontal, Spreading",Creeping / Mat-like,Medium - fine,< 0.1m,0.6 - 1.0m,Fast,,Zone 9: (-7 to -1 C),"Full sun, Part sun/part shade","Rocky or gravelly or dry, Well-drained",Low,"Hanging basket, Urban agriculture, Wildlife food",Fruit insignificant,Simple,Opposite,Succulent,"Glabrous, Lustrous",Green,Green,Obovate,Rounded,Attenuate,Entire,"Floriferous, Flowers solitary","Showy, Yellow",None,"Apr, May, Jun",Capsule,"Green, Black","Apr, May, Jun, Jul, Aug, Sep",,,Seed,
Potentilla fruticosa ( syn. Dasiphora ),poe-ten-TILL-uh froo-tih-KOE-zuh,"cinquefoil, potentilla",Rosaceae,Shrub - deciduous,"Small, round deciduous shrub; leaves small (1.5cm), compound-palmate, with 5 altenating leaflets. Winter ID: very twiggy; bark shaggy, cinnamon coloured; fruit 5-lobed that sometimes persist in winter.","Twiggy, Upright","Mounded, Oval - horizontal",Fine,0.2 - 0.4m,0.6 - 1.0m,Moderate,"B.C. east of Cascades, B.C. west of Cascades, Canada - central, Canada - eastern, Canada - northern, Europe, U.S. - central, U.S. - northeast, U.S. - northwest",Zone 2: (-46 to -40 C),Full sun,"Rocky or gravelly or dry, Well-drained","Low, Moderate","Alpine, Group or mass planting, Mixed shrub border, Small garden/space",Not showy,Compound,Alternate,Soft flexible,"Glandular hairs, Lustrous",Green,"Green, Yellow, Brown",Ovate,Acute,,,"Floriferous, Flowers solitary","Showy, White, Yellow, Orange, Pink, Red, Dark-red, (Species has yellow flowers. Many cultivars with white, orange, pink, or red flowers exist.)",None,"May, Jun, Jul, Aug, Sep",Achene,Brown,"Jul, Aug, Sep, Oct","Exfoliating, Multi-stem trunk",Brown,"Seed, Softwood cuttings, Tissue culture","Disease resistant, Mites, Deer resistant"
Primula spp.,PRIM-you-luh,primrose,Primulaceae,"Herbaceous perennial, Flowering pot plant",,Dense,Round,Medium,0.2 - 0.4m,0.3 - 0.6m,Moderate,Garden origin,Zone 4: (-34 to -29 C),"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Moderate,"Bedding plant, Container planting, Group or mass planting, Indoor plant, Rock garden, Winter interest, Woodland margin",Fruit insignificant,Simple,Basal,Soft flexible,"Glabrous, Pubescent",Green,Brown,"Oblanceolate, Obovate",Rounded,Cuneate,Crenate,Flowers solitary,"Showy, Yellow, Orange, Pink, White, Red, Violet, Blue, (Often bicolor or tricolored)",Fragrant,"Feb, Mar, Apr, May",Capsule,,,,Bark or Stem Colour,Seed,"Root rot, Mildew, Diptera - true flies, Slugs or snails, Mites, Aphids or adelgids, Mold, Rust"
Primula auricula,PRIM-you-luh ore-ICK-you-luh,mountain cowslip,Primulaceae,Herbaceous perennial,,Upright,Oval - horizontal,Medium,0.1 - 0.2m,0.1 - 0.3m,,Europe,Zone 3: (-40 to -34 C),Part sun/part shade,"Rocky or gravelly or dry, Well-drained",Moderate,"Alpine, Perennial border, Rock garden, Spring interest, Wetland - bogs",Upright peduncle,Simple,Basal,Leathery,Lustrous,Green,,"Obovate, Spatulate",Obtuse,Attenuate,Serrate,Umbel,"Showy, Violet, Yellow, Pink, Red, Magenta",Fragrant,,,,,,Bark or Stem Colour,Seed,"Aphids or adelgids, Mites, Mold, Root rot, Slugs or snails"
Primula denticulata,PRIM-you-luh den-tick-you-LAY-tuh,drumstick primrose,Primulaceae,"Annual, Herbaceous perennial, Semi-evergreen",,Arching,Vase,Medium - coarse,0.4 - 0.7m,0.3 - 0.6m,Fast,"S.E. Asia / Japan / China, South Asia / India (alpine regions)",Zone 2: (-46 to -40 C),"Full sun, Part sun/part shade",,,"Perennial border, Summer interest",Google,Simple,Basal,"Pinnate venation, Soft flexible",Glabrous,Green,Yellow,"Oblong, Obovate, Spatulate",Rounded,Sheathing,Serrulate,"Floriferous, Spike","Showy, Purple, Violet, Pink, Red, Blue, White, (Flowers with yellow centers. Many different flowered cultivars available.)",,"May, Jun",,,,,Bark or Stem Colour,"Seed, Division - below ground parts",
Primula malacoides,mal-uh-koe-EYE-deez,fairy primrose,Primulaceae,"Flowering pot plant, Annual","Leaves basal, oval, 4 to 8cm (1.5 – 3 inch) long leaves, margins scalloped (irregularly toothed/ incised); florets with 5 notched petals, mostly in shades of pink to purple mostly with some yellow on the throat (all white cv. available), 20 - 30 per panicle.",Upright,Mounded,Medium,0.2 - 0.4m,0.1 - 0.3m,,S.E. Asia / Japan / China (Yunnan),Zone 8a: (-12 to -9.5 C),"Filtered shade, Full sun only if soil kept moist, Part sun/part shade",Humus rich,Moderate,"Alpine, Bedding plant, Container planting, Indoor plant","Fruit insignificant, About 3 mm in diameter",Simple,Basal,"Heavily veined, Pinnate venation, Soft flexible",Tomentose,Green,,"Elliptic, Ovate",Rounded,Cordate,Crenate,"Floriferous, Panicle","Showy, White, Violet, Pink, Red, Magenta, Purple",,"Feb, Mar, Apr",Capsule,Brown,"May, Jun",,n/a,Seed,"Aphids or adelgids, Mildew, Mites, Mold, Root rot, Slugs or snails, Virus"
Primula vulgaris hybrids,PRIM-you-luh vul-GAIR-iss,"primula, primrose",Primulaceae,"Flowering pot plant, Herbaceous perennial",,Dense,Round,Medium,0.2 - 0.4m,0.3 - 0.6m,Moderate,Garden origin,Zone 4: (-34 to -29 C),"Full sun only if soil kept moist, Part sun/part shade",Well-drained,Moderate,"Bedding plant, Container planting, Group or mass planting, Indoor plant, Rock garden, Winter interest, Woodland margin",Fruit insignificant,Simple,Basal,Soft flexible,"Glabrous, Pubescent",Green,Brown,"Oblanceolate, Obovate",Rounded,Cuneate,Crenate,Flowers solitary,"Showy, White, Violet, Blue, Yellow, Orange, Pink, Red, (Often bicolor or tricolored)",Fragrant,"Feb, Mar, Apr, May",Capsule,,,,Bark or Stem Colour,Seed,"Aphids or adelgids, Mildew, Mites, Mold, Root rot, Rust, Slugs or snails, Diptera - true flies, Rabbit resistant"
Prunella vulgaris,proo-NELL-uh vul-GAIR-iss,self-heal,Lamiaceae,"Herbaceous perennial, Weed (horticultural)","Verticillasters are spike-like and with blue flowers in July, stems squarish in c.s. and can be kept short by mowing.",Spreading,Irregular,Medium,0.2 - 0.4m,0.3 - 0.6m,Fast,Europe,Zone 3: (-40 to -34 C),"Full sun, Part sun/part shade",Rocky or gravelly or dry,"Low, Summer dry","Erosion control, Herb, Medicinal plant","Not showy, nutlets enclosed in a persistent calyx",Simple,Opposite,Soft flexible,Pubescent,Green,Brown,Ovate,Rounded,Rounded,"Ciliate, Crenate, Entire",Verticillaster,"Showy, Violet, Blue",,"Apr, May, Jun, Jul",Nut,Brown,,,Bark or Stem Colour,,
Prunus x yedoensis,PROO-nus ex yed-oh-EN-siss,Yoshino cherry,Rosaceae,Tree - deciduous,Common cherry blossom with open branching; flowers white to light pink in early spring.,"Spreading, Upright",Oval - horizontal,Medium - coarse,5 - 7m,5 - 7m,Fast,Garden origin (P. subhirtella x P. speciosa),Zone 5: (-29 to -23 C),"Full sun, Part sun/part shade",Well-drained,,"Attract beneficial insects, Spring interest","Fruit insignificant, no fruit (hybrid)",Simple,Alternate,Soft flexible,Glabrous,Green,Yellow,Elliptic,Acuminate,"Attenuate, Obtuse",Serrate,Flowers clustered,"Showy, White, Pink, (light pink)",Fragrant,"Mar, Apr",Aborted (hybrids) or absent,,,Prominent lenticels,"Brown, Grey",,"Disease resistant, Stem borer insects, Galls, Mites, Dieback, Fungal leaf spot"
Prunus 'Kanzan',PROO-nus,"Kwanzan cherry, Kanzan cherry",Rosaceae,Tree - deciduous,"Deciduous tree with a wide spreading crown; very prominent creamy-orange, horizontal lenticels; branches come off stem at 45 degree angle; alternate, ovate, serrate leaves with reddish petioles. Winter ID: Brown pointed buds; fruit spurs; where petiole joins leaf blade, there are kidney shaped glands.","Spreading, Upright","Round, Vase",Medium,7 - 10m,7 - 10m,Moderate,Garden origin (derived from Prunus serratula),Zone 6: (-23 to -18 C),Full sun,Well-drained,Moderate,"Attract beneficial insects, Specimen plant, Spring interest",Fruit insignificant,Simple,Alternate,Soft flexible,"Glabrous, Lustrous",,"Red, Bronze","Lanceolate, Ovate",Acuminate,"Cuneate, Obtuse",Serrate,"Floriferous, Flowers solitary","Not showy, Pink",Sweet,"Apr, May",Aborted (hybrids) or absent,,,"Showy, Smooth, Prominent lenticels, Single stem trunk","Grey, Red, Brown",Greenwood cuttings,"Dieback, Galls, Mites, Nematodes, Root rot, Scale insects, Stem borer insects, Virus"
Prunus hybrid cvs.,PROO-nus,ornamental cherry tree,Rosaceae,Tree - deciduous,"Deciduous trees mostly wide spreading crowns; leaves ovate, serrated, and with glands near petiole. Winter ID: very prominent horizontal lenticels, brown pointed buds.","Spreading, Upright","Round, Vase",Medium,7 - 10m,7 - 10m,Moderate,Garden origin (derived from Prunus serratula),Zone 6: (-23 to -18 C),Full sun,Well-drained,Moderate,"Attract beneficial insects, Specimen plant, Spring interest",Fruit insignificant,Simple,Alternate,Soft flexible,"Glabrous, Lustrous",,"Bronze, Red","Lanceolate, Ovate",Acuminate,"Cuneate, Obtuse",Serrate,"Floriferous, Flowers solitary","Showy, Pink, White",Sweet,"Mar, Apr, May",Aborted (hybrids) or absent,,,"Showy, Prominent lenticels, Smooth, Single stem trunk","Red, Grey, Brown",Greenwood cuttings,"Stem borer insects, Virus, Mites, Galls, Scale insects, Nematodes, Root rot, Dieback, Rabbit resistant"
Prunus 'Shirotae',PROO-nus,Mount Fuji cherry,Rosaceae,Tree - deciduous,"Flat-topped tree with horizontal branching; lenticels prominent on newer growth; leaves to 15cm, sharp-pointed (accuminate), margins double-serrate, 2 (-4) glands on each petiole; flowers white and emerging before leaves expand.","Arching, Horizontal, Spreading",Oval - horizontal,Medium - coarse,5 - 7m,7 - 10m,Moderate,Garden origin (Sato-zakura hybrid derived likely from Prunus serratula),Zone 6: (-23 to -18 C),Full sun,"Acidic, Humus rich, Well-drained",Moderate,"Accent plant, Attract beneficial insects, Shade tree, Specimen plant, Spring interest, Street (boulevard tree)","Fruit insignificant, no fruit",Simple,Alternate,Soft flexible,"Distinctive smell, Glabrous","Green, Dark-green, emerge pale green tinted bronze, dark green by summer and then shades of orange to red in fall","Yellow, Orange, Red","Elliptic, Ovate",Caudate,Rounded,"Ciliate, Serrate","Floriferous, Flowers clustered","Showy, White","Fragrant, Sweet","Mar, Apr",Aborted (hybrids) or absent,,,"Showy, Prominent lenticels",Brown,"Greenwood cuttings, Grafting","Dieback, Mites, Nematodes, Root rot, Scale insects, Stem borer insects"
Prunus americana,PROO-nus uh-mare-ih-KAY-nuh,American plum,Rosaceae,Tree - deciduous,"Medium sided tree; flowers white, spring; fruit red (or yellow or black) plums, July.",Upright,Round,Medium,5 - 7m,3 - 4m,Moderate,"Canada - eastern, U.S. - central, U.S. - northeast, U.S. - northwest, U.S. - southwest",Zone 3: (-40 to -34 C),Full sun,Well-drained,,"Attract beneficial insects, Shade tree, Urban agriculture",Showy,Simple,Alternate,Soft flexible,Glabrous,Green,Yellow,"Elliptic, Obovate",Acute,Acute,Serrate,,White,None,"Mar, Apr",Drupe,"Yellow, Red",Jul,Plated,"Brown, Grey",,"Rabbit resistant, Canker or sap rot, Fungal leaf spot, Bacterial leaf spot, Mold, Galls"
Prunus avium,PROO-nus aye-VEE-um,"sweet cherry, bird cherry",Rosaceae,Tree - deciduous,"Exfoliating bark; leaves elliptic, serrated margin. Winter ID: buds clusters; leaf scars half-round to elliptical.","Irregular, Spreading, Upright","Oval - vertical, Round",Medium - coarse,15 - 22m,10 - 15m,Moderate,"Africa, Europe, South Asia / India",Zone 5: (-29 to -23 C),"Full sun, Part sun/part shade",Well-drained,Moderate,"Attract beneficial insects, Attract birds, Urban agriculture",Banded,Simple,Alternate,Soft flexible,Lustrous,"Dark-green, bronze when young","Yellow, Red",Ovate,Acute,Cordate,Serrate,"Floriferous, Flowers clustered","Showy, White",,"Mar, Apr",Drupe,Dark-red,"Jun, Jul","Exfoliating, Prominent lenticels",Red,"Seed, Greenwood cuttings, Softwood cuttings","Galls, Mites, Nematodes, Scale insects, Virus, Rabbit resistant"
Prunus cerasifera 'Pissardii',PROO-nus sair-uh-SIFF-ur-uh,Pissard plum,Rosaceae,Tree - deciduous,"Leaves dark red; flowers pink in early spring; fruit dark red, cherry like but almost plums in summer. Winter ID: Small tree with open,, rounded crown to 10 m tall; buds alternate, red, oblong, pointed; twigs dark red.","Spreading, Upright",Round,Medium,7 - 10m,7 - 10m,Fast,Garden origin,Zone 5: (-29 to -23 C),Full sun,Well-drained,,"Accent plant, Attract beneficial insects, Shade tree, Specimen plant, Spring interest, Street (boulevard tree), Urban agriculture","Not showy, Edible, scanty fruit production most years locally and difficult to spot until fallen as the leaves are same colour",Simple,Alternate,Soft flexible,Glabrous,"Purple, Dark-red",Red,Elliptic,Acute,Cuneate,Serrate,"Floriferous, Flowers solitary","Showy, Pink",Fragrant,"Apr, May",Drupe,"Yellow, Red",Aug,,Brown,Softwood cuttings,"Scale insects, Rabbit resistant"
Prunus laurocerasus,PROO-nus lore-oh-SAIR-uh-sis,"English laurel, cherry laurel",Rosaceae,"Broadleaf evergreen, Invasive plant, Weed (horticultural)","Very large (8m), fast-growing evergreen shrub, often used in hedges. Leaves are large (20cm), glossy green, ovate-oblong with a rounded tip, a serrated margin and a white midrib.","Dense, Stiffly upright",Round,Medium - coarse,7 - 10m,7 - 10m,Moderate,Europe,Zone 6: (-23 to -18 C),Part sun/part shade,"Acidic, Well-drained",Moderate,"Attract beneficial insects, Hedge row, Screening",Showy,,Alternate,Pinnate venation,Glabrous,Green,Green,"Oblong, Obovate",Acute,Cuneate,Serrate,Raceme,"Showy, White",Fragrant,"Apr, May",Drupe,"Red, Black","Jul, Aug",,Bark or Stem Colour,Softwood cuttings,"Nematodes, Root rot, Scale insects, Rabbit resistant, Caterpillar or cutworm, Bacterial leaf spot, Fungal leaf spot, Diptera - true flies"
Prunus laurocerasus 'Zabeliana',PROO-nus lore-oh-SAIR-uh-sis,Zabel laurel,Rosaceae,Broadleaf evergreen,"Lower (1.3m), evergreen shrub with narrow, alternate, willow-like leaves on horizontal branches. Similar to 'Otto Luyken', but with branches more horizontal; leaves held flat and perpendicular to the stem ('Otto Luyken' has leaves pointed upward).",Spreading,Oval - horizontal,Medium,0.7 - 1.3m,2 - 3m,Moderate,Garden origin,Zone 5: (-29 to -23 C),"Full sun, Part sun/part shade","Acidic, Well-drained",Moderate,"Group or mass planting, Hedge row",Google,Simple,Alternate,Leathery,Lustrous,Dark-green,Dark-green,Lanceolate,Acuminate,Attenuate,"Entire, Serrulate",Raceme,"Showy, White",Fragrant,"Apr, May",Drupe,"Blue, Black","Jul, Aug",Smooth,"Grey, Dark Grey",Cuttings,"Galls, Nematodes, Root rot"
Prunus laurocerasus 'Otto Luyken',PROO-nus lore-oh-SAIR-uh-sis,Otto Luyken laurel,Rosaceae,Broadleaf evergreen,"Compact, evergreen shrub; leaves glossy, rubbery, dark green, point upwards on upward branches (vs. 'Zabeliana' variety which has horizontal orientation); inflorescence is bottlebrush raceme of small, white florets.","Dense, Spreading, Upright","Round, Vase",Medium,0.7 - 1.3m,1.0 - 1.5m,Moderate,"Europe, Garden origin",Zone 6: (-23 to -18 C),"Full sun, Part sun/part shade","Acidic, Well-drained",Moderate,"Group or mass planting, Mixed shrub border, Sheared hedge, Small garden/space",Not showy,Simple,Alternate,Leathery,"Glabrous, Lustrous",Green,Green,"Lanceolate, Oblong",Acute,Cuneate,Entire,"Floriferous, Raceme","Showy, White",Fragrant,"Apr, May",Drupe,"Green, Black","Aug, Sep",Smooth,"Green, Brown",Greenwood cuttings,"Dieback, Mites, Nematodes, Root rot, Scale insects, Bacterial leaf spot"
